metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Space,War,Inequality","Time,Body",0,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/
wup,tags,"Familial,Materiality,Emotion","Arts,Materiality,Familial",2,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/
wup,tags,"Technology,Language,Materiality","Arts,Language,Materiality",2,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/
wup,tags,"Body,Violence,Arts","Violence,Activism,Body",2,Jennifer Locke,Choke,https://kadist.org/work/choke/
wup,tags,"Land,Technology,Environmental","Arts,Environmental,Land",2,Robert Zhao Renhui,Expedition #46,https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/
wup,tags,"Activism,Environmental,Values","Familial,Materiality,Immaterial",0,Fernanda Gomes,Untitled,https://kadist.org/work/untitled-14/
wup,description,"History,Activism,Politics","Politics,Economy,History",2,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/
wup,description,"Mass media,Technology,Arts","Arts,Economy,Time",1,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/
wup,description,"Materiality,Design,Arts","Arts,Urbanization,History",1,Carlos Garaicoa,From the series the Old and the New (XI),https://kadist.org/work/from-the-series-the-old-and-the-new-xi/
wup,description,"Body,Technology,Mind","Land,History,Politics",0,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/
wup,description,"War,Environmental,Activism","Arts,Economy,Environmental",1,"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,https://kadist.org/work/the-nature-of-conflict/
wup,description,"Identity,Culture,Language","Mind,Culture,Values",1,Anthony Discenza,A Rising Tide Lifts All Boats,https://kadist.org/work/a-rising-tide-lifts-all-boats/
wup,description,"Identity,Immaterial,Mind","Arts,Violence,Activism",0,John Baldessari,One Must,https://kadist.org/work/one-must/
wup,description,"History,Culture,Colonization","Arts,Land,Technology",0,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/
wup,description,,"Culture,Arts,Values",0,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/
wup,description,"Space,Time,Arts","Land,Language,Space",1,Andrew Grassie,After the Archive Collections Room,https://kadist.org/work/after-the-archive/
wup,description,"History,Design,Arts","Arts,Design,Technology",2,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/
wup,description,"Identity,Materiality,Time","Mind,Culture,Values",0,Joe Scanlan,Spring Line,https://kadist.org/work/spring-line/
wup,description,"Culture,Economy,Design","Emotion,Mind,Community",0,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/
wup,description,"Land,Environmental,Colonization","Physics,Materiality,Time",0,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/
wup,description,"Technology,Physics,Mind","Culture,Arts,Environmental",0,Laurent Montaron,What remains is future,https://kadist.org/work/what-remains-is-future/
wup,description,"Culture,Language,Geopolitics","Economy,Land,Environmental",0,Marie Voignier,Tourisme international,https://kadist.org/work/untitled-27/
wup,description,"Body,Identity,Language","Identity,Values,Activism",1,Rodney Graham,Good Hand Bad Hand,https://kadist.org/work/good-hand-bad-hand/
wup,description,"History,Politics,Language","Arts,History,Culture",1,Nicoline van Harskamp,Character Witness,https://kadist.org/work/character-witness/
wup,description,"Culture,Values,Arts","Mind,Materiality,Familial",0,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/
wup,description,"Space,Politics,Power","Space,Economy,Body",1,Carey Young,Report from the legal subcommittee,https://kadist.org/work/report-from-the-legal-subcommittee/
wup,description,"Identity,Community,Fantasy","Emotion,Culture,Violence",0,Luis Garciga,Destinos Posibles (Possible Destinations),https://kadist.org/work/destinos-posibles-possible-destinations/
wup,description,"Politics,Values,Emotion","Economy,Values,Politics",2,Gimhongsok,Bunny’s Sofa,https://kadist.org/work/bunnys-sofa/
wup,description,,"Culture,Arts,Values",0,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/
wup,description,"Inequality,Economy,Community","Physics,Immaterial",0,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/
wup,description,"Culture,Design,Fantasy","Emotion,Violence,Fantasy",1,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/
