metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,description,"Identity,Technology,Materiality","Emotion,Mind,Community",0,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/
wup,description,"Land,Colonization,Language","Physics,Materiality,Time",0,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/
wup,description,"History,Materiality,Arts","Culture,Arts,Environmental",1,Laurent Montaron,What remains is future,https://kadist.org/work/what-remains-is-future/
wup,description,"Politics,Land,Fantasy","Economy,Land,Environmental",1,Marie Voignier,Tourisme international,https://kadist.org/work/untitled-27/
wup,description,"Power,Emotion,Fantasy","Identity,Values,Activism",0,Rodney Graham,Good Hand Bad Hand,https://kadist.org/work/good-hand-bad-hand/
wup,description,"History,Politics,Language","Arts,History,Culture",1,Nicoline van Harskamp,Character Witness,https://kadist.org/work/character-witness/
wup,description,"Language,Emotion,Arts","Mind,Materiality,Familial",0,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/
wup,description,"Space,Power,Geopolitics","Space,Economy,Body",1,Carey Young,Report from the legal subcommittee,https://kadist.org/work/report-from-the-legal-subcommittee/
wup,description,"Politics,Economy,Emotion","Emotion,Culture,Violence",1,Luis Garciga,Destinos Posibles (Possible Destinations),https://kadist.org/work/destinos-posibles-possible-destinations/
wup,description,"Politics,Materiality,Fantasy","Economy,Values,Politics",1,Gimhongsok,Bunny’s Sofa,https://kadist.org/work/bunnys-sofa/
wup,description,"Body,Land,Urbanization","Culture,Arts,Values",0,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/
wup,description,"Inequality,Colonization,Emotion","Physics,Immaterial",0,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/
wup,description,"Arts,Land,Geopolitics","Emotion,Violence,Fantasy",0,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/
