metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Body,Identity,Community","Culture,Land,Community",1,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/
wup,tags,"Time,Culture","Time,Culture,Technology",2,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/
wup,tags,"Body,Materiality","Materiality,Body",2,George Pfau,Decomposing Eternally,https://kadist.org/work/decomposing-eternally/
wup,tags,Materiality,"Land,Economy",0,James Weeks,Man with Blue Tie,https://kadist.org/work/man-with-blue-tie/
wup,tags,Economy,"Economy,Culture,Time",1,Kan Xuan,Island,https://kadist.org/work/island/
wup,tags,"Nature,Time,Immaterial",,0,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/
wup,tags,"Identity,Materiality","Materiality,Identity,Land",2,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/
wup,tags,"Materiality,Language","Language,Materiality",2,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/
wup,tags,"Body,Conflict","Conflict,Body,Identity",2,Jennifer Locke,Choke,https://kadist.org/work/choke/
wup,tags,Environment,"Culture,Environmental,Land",0,Robert Zhao Renhui,Expedition #46,https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/
wup,tags,"Body,Mind,Environment",Materiality,0,Fernanda Gomes,Untitled,https://kadist.org/work/untitled-14/
wup,description,"Economy,Politics,Time","Politics,Time,Body",2,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/
wup,description,"Technology,Economy","Economy,Immaterial,Politics",1,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/
wup,description,"Culture,Time","Materiality,Land,Culture",1,Carlos Garaicoa,From the series the Old and the New (XI),https://kadist.org/work/from-the-series-the-old-and-the-new-xi/
wup,description,"Politics,Mind","Land,Technology",0,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/
wup,description,"Economy,Politics,Environment","Economy,Environmental,Conflict",1,"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,https://kadist.org/work/the-nature-of-conflict/
wup,description,"Language,Imagination","Culture,Immaterial,Economy",0,Anthony Discenza,A Rising Tide Lifts All Boats,https://kadist.org/work/a-rising-tide-lifts-all-boats/
wup,description,"Language,Immaterial","Conflict,Language,Technology",1,John Baldessari,One Must,https://kadist.org/work/one-must/
wup,description,"Identity,Culture","Culture,Technology,Land",1,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/
wup,description,,"Culture,Materiality,Economy",0,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/
wup,description,"Time,Materiality","Immaterial,Language,Culture",0,Andrew Grassie,After the Archive Collections Room,https://kadist.org/work/after-the-archive/
wup,description,Materiality,"Materiality,Technology,Time",1,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/
wup,description,Materiality,"Culture,Immaterial,Mind",0,Joe Scanlan,Spring Line,https://kadist.org/work/spring-line/
wup,description,"Materiality,Identity","Mind,Body,Politics",0,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/
wup,description,"Language,Culture,Land",Immaterial,0,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/
wup,description,"Time,Imagination","Environmental,Language,Body",0,Laurent Montaron,What remains is future,https://kadist.org/work/what-remains-is-future/
wup,description,"Identity,Culture","Economy,Land,Conflict",0,Marie Voignier,Tourisme international,https://kadist.org/work/untitled-27/
wup,description,"Mind,Identity","Identity,Politics,Body",1,Rodney Graham,Good Hand Bad Hand,https://kadist.org/work/good-hand-bad-hand/
wup,description,"Identity,Politics","Time,Culture,Immaterial",0,Nicoline van Harskamp,Character Witness,https://kadist.org/work/character-witness/
wup,description,"Immaterial,Body","Economy,Materiality,Body",1,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/
wup,description,"Politics,Immaterial","Economy,Body,Immaterial",1,Carey Young,Report from the legal subcommittee,https://kadist.org/work/report-from-the-legal-subcommittee/
wup,description,"Mind,Politics","Mind,Politics,Community",2,Luis Garciga,Destinos Posibles (Possible Destinations),https://kadist.org/work/destinos-posibles-possible-destinations/
wup,description,"Conflict,Politics","Economy,Culture,Politics",1,Gimhongsok,Bunny’s Sofa,https://kadist.org/work/bunnys-sofa/
wup,description,,"Culture,Materiality,Economy",0,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/
wup,description,Conflict,"Materiality,Immaterial",0,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/
wup,description,"Identity,Imagination","Mind,Imagination,Immaterial",1,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/
