metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,description,"Mass media,Economy,Fantasy","Culture,Arts,Environmental",0,Laurent Montaron,What remains is future,https://kadist.org/work/what-remains-is-future/
wup,description,"Culture,Politics,Arts","Economy,Land,Environmental",0,Marie Voignier,Tourisme international,https://kadist.org/work/untitled-27/
wup,description,"Mass media,Body,Fantasy","Identity,Values,Activism",0,Rodney Graham,Good Hand Bad Hand,https://kadist.org/work/good-hand-bad-hand/
wup,description,"Mass media,Politics,History","Arts,History,Culture",1,Nicoline van Harskamp,Character Witness,https://kadist.org/work/character-witness/
wup,description,"Culture,Emotion,Arts","Mind,Materiality,Familial",0,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/
wup,description,"Space,Politics,Power","Space,Economy,Body",1,Carey Young,Report from the legal subcommittee,https://kadist.org/work/report-from-the-legal-subcommittee/
wup,description,"Body,Fantasy,Mind","Emotion,Culture,Violence",0,Luis Garciga,Destinos Posibles (Possible Destinations),https://kadist.org/work/destinos-posibles-possible-destinations/
wup,description,"Economy,Emotion,Fantasy","Economy,Values,Politics",1,Gimhongsok,Bunny’s Sofa,https://kadist.org/work/bunnys-sofa/
wup,description,Economy,"Culture,Arts,Values",0,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/
wup,description,"Politics,Colonization,Fantasy","Physics,Immaterial",0,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/
wup,description,"Mass media,Identity,Culture","Emotion,Violence,Fantasy",0,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/
