metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Body,Immaterial,Mind","Familial,Materiality,Immaterial",1,Fernanda Gomes,Untitled,https://kadist.org/work/untitled-14/
wup,description,"History,Politics,Economy","Politics,Economy,History",3,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/
wup,description,"Mass media,Economy","Arts,Economy,Time",1,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/
wup,description,"History,Materiality,Arts","Arts,Urbanization,History",2,Carlos Garaicoa,From the series the Old and the New (XI),https://kadist.org/work/from-the-series-the-old-and-the-new-xi/
wup,description,"Politics,Mind","Land,History,Politics",1,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/
wup,description,"Environmental,Politics,Economy","Arts,Economy,Environmental",2,"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,https://kadist.org/work/the-nature-of-conflict/
wup,description,"Language,Mind","Mind,Culture,Values",1,Anthony Discenza,A Rising Tide Lifts All Boats,https://kadist.org/work/a-rising-tide-lifts-all-boats/
wup,description,"Language,Mind","Arts,Violence,Activism",0,John Baldessari,One Must,https://kadist.org/work/one-must/
wup,description,"Identity,Culture","Arts,Land,Technology",0,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/
wup,description,,"Culture,Arts,Values",0,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/
wup,description,"Materiality,Time","Land,Language,Space",0,Andrew Grassie,After the Archive Collections Room,https://kadist.org/work/after-the-archive/
wup,description,"Materiality,Design,Mind","Arts,Design,Technology",1,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/
wup,description,"Materiality,Mind","Mind,Culture,Values",1,Joe Scanlan,Spring Line,https://kadist.org/work/spring-line/
wup,description,"Identity,Materiality,Design","Emotion,Mind,Community",0,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/
wup,description,"Culture,Land,Language","Physics,Materiality,Time",0,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/
wup,description,"History,Fantasy","Culture,Arts,Environmental",0,Laurent Montaron,What remains is future,https://kadist.org/work/what-remains-is-future/
wup,description,"Identity,Culture","Economy,Land,Environmental",0,Marie Voignier,Tourisme international,https://kadist.org/work/untitled-27/
wup,description,"Body,Language,Mind","Identity,Values,Activism",0,Rodney Graham,Good Hand Bad Hand,https://kadist.org/work/good-hand-bad-hand/
wup,description,"History,Politics","Arts,History,Culture",1,Nicoline van Harskamp,Character Witness,https://kadist.org/work/character-witness/
wup,description,"Identity,Mind","Mind,Materiality,Familial",1,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/
wup,description,"Space,Politics","Space,Economy,Body",1,Carey Young,Report from the legal subcommittee,https://kadist.org/work/report-from-the-legal-subcommittee/
wup,description,"Politics,Economy,Emotion","Emotion,Culture,Violence",1,Luis Garciga,Destinos Posibles (Possible Destinations),https://kadist.org/work/destinos-posibles-possible-destinations/
wup,description,"Inequality,Politics,Economy","Economy,Values,Politics",2,Gimhongsok,Bunny’s Sofa,https://kadist.org/work/bunnys-sofa/
wup,description,,"Culture,Arts,Values",0,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/
wup,description,Inequality,"Physics,Immaterial",0,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/
wup,description,"Identity,Arts,Fantasy","Emotion,Violence,Fantasy",1,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/
