artist_name,title,user_tags,permalink,description,Cluster 1,C/S,Cluster 2,C/S,Cluster 3,C/S
Ryan Gander,You see with no lights,"collection.n.01,bauhaus.n.01,idealization.n.01,art_history.n.01,playful.a.01,collage.n.01",https://kadist.org/work/you-see-with-no-lights/,"  You see without light  is a group of photographs around the theme of Bauhaus. This includes a reference to one of Ganders works which is the Bauhaus manifesto without dots on the letter i, as well as drawings of his ideal art school. 
",History,0.6,Arts,0.4,Design,0.7
Joe Scanlan,Spring Line,"adaptation.n.02,influence.n.04,idea.n.01,stalk.n.02,flower.n.01,variation.n.07",https://kadist.org/work/spring-line/,"  Spring Line  is a piece shown for the first time in his solo exhibition at the Institut dArt Contemporain in Villeurbanne in 2007. It pays homage to the work of the famous conceptual artist Sol LeWitt, who had died on 8 April that year. Scanlan aims to guide the spectator to gage the level of influence Sol LeWitt has had on his work with regards the conversion of potential ideas into sculpture. Forsythia stems, a theme in his work of the last 7 years, are seen as concrete drawings where each stem is a line in space and each flower a mark. Taking the concept of Sol LeWitts instructions in which the artwork exists first as an idea before realization,  Spring Line  applies the same principle by which an artwork exists first of all as a mobile box prior to installation. The way in which the drawings are exhibited in space can vary: in Villeurbanne they were dispersed, during the Armory Show the stems all stayed in the box, in Amsterdam only 5 drawings were created, the other stems stayed in the box. Thus  Spring Line  is a variable image which is adaptable to any space and reinvented each time. The forsythia motif resonates with this idea, since it is a flower that renews itself constantly in the cycle of seasons – eternal and forever new. 
",Time,0.6,Materiality,0.4,Identity,0.2
Judy Chicago,"Domes, #1","femininity.n.01,fabrication.n.04,polish.n.02,closeness.n.01,hue.n.01,feminism.n.01",https://kadist.org/work/domes-1/,"  Domes #1  represents a significant moment in Chicago’s career when her art began to change from a New York-influenced Abstract Expressionist style to one that reflected the pop-inflected art being made in Los Angeles. By 1968, the year she began creating  Domes , the twenty-nine-year-old artist had moved from Chicago to Los Angeles, graduated from UCLA, and was part of a generation of artists whose work was characterized by of the masculine overtones of Southern California’s flourishing car culture. Inspired by new technologies in the auto manufacturing, these “Finish Fetish” artists appropriated industrial materials such as car paint or lacquer to create artwork with pristine finishes. Chicago too was interested in using industrial technologies and enrolled in auto body and boat building school. While the geometric forms, meticulously applied finish, and luminous, gradated hues of color in  Domes  speak to Chicago’s interest in the prevailing artistic themes of 1960s Southern California, its intimate scale, round shape, and triangular formation belie her career-long interest in using “feminine” forms to promote feminist issues. 
   
",Design,0.8,Culture,0.6,Economy,0.7
Felipe Arturo,Primero Estaba el Mar,"genesis.n.01,civilization.n.01,ocean.n.01,everyday.s.01,concrete.n.01,beginning.n.01",https://kadist.org/work/primero-estaba-el-mar/,"  Primero estaba el mar  ( First Was the Sea , 2012) is a system of equivalences between syllables and silhouettes of waveforms cast in cement. Each waveform represents a syllable of the sentence “Primero estaba el mar.” This sentence is the first verse of the Kogui poem of creation. For the Koguis, an indigenous community from the Sierra Nevada de Santa Marta on the Colombian Caribbean coast, water was the absolute presence before the creation of the universe. The Colombian writer Tomás González used this phrase as the title of his first novel, in which he narrates the story of a couple in Medellín who, following the anarchic and hippie trends of the 1970s, abandon civilization and move to a solitary beach. Instead of leaving modernity behind, however, the couple becomes a colonizing force, transforming the natural environment of the beach into a rationalized territory. Under the logic proposed by Primero estaba el mar, the variation of the order of the waveforms represents different possibilities for this sentence. The work produces eight different phrases that assimilate the idea of repetition and change; the sentence has eight syllables, and each syllable-waveform is repeated eight times in order to reconstruct the title eight different times, resulting in a total of sixty-four pieces. 
",Colonization,0.8,Environmental,0.7,Land,0.3
Laurent Montaron,What remains is future,"disaster.n.03,anaglyph.n.01,mass_culture.n.01,explosion.n.02,zeppelin.n.02,transportation_system.n.01",https://kadist.org/work/what-remains-is-future/," This film refers directly and fictionally to one of the first media dramas: the burning of the Zeppelin aircraft LZ 129 Hindenburg as it landed in New York in 1937. The power of these images, which were widely diffused in the press, had a profound haunting impact on peoples consciousness. This mode of transport – both futuristic and obsolete – crystallizes a collective imaginary which was fed by cinematic, literary and mythological fiction as Barthes would put it. A mass advances progressively towards the spectator, the camera glides right up to this monster, which is as graceful as a sea mammal, but flames perturb this vision. The mass disappears from view, making it impossible to define clearly, and finally exits the image field. Realized with an anaglyph process – which superimposes two slightly offset images to produce an effect of depth – the film prevents the experience of the third dimension and emphasizes the tricks of fabrication since it is viewed without special glasses. Due to its materiality and blurriness, the image, which is accompanied by a sinusoid wave, exerts a powerful haptic and hypnotic fascination. 
",Physics,0.5,Mind,0.5,Technology,0.7
Marie Voignier,Tourisme international,"tourism.n.01,propaganda.n.01,disconnect.v.02,rustle.n.01,north_korea.n.01,footfall.n.01",https://kadist.org/work/untitled-27/,"  Tourisme International  was shot as the recording of a show on the scale of a country. In the urgency of perpetual travel, this tourist journey visits monuments, museums, institutions presented by North Korean guides whose voices we do not hear. Marie Voignier entirely redesigned the sound of each sequence in post-synchronization, making only the living experiences of footsteps and rustling of clothes audible, to create a new universe, disconnected from the official discourses. In this new decor, the artist attempts to re-appropriate the image she shot (frames and length were decided by the organizers), and gives another view of a country in perpetual representation of itself: a cinematographic representation that can be screened. 
   
 Interview in French with the artist about this film:  
http://www.abraslecorps.com/pages/web_tv.php?id_video=50page=2 
   
",Culture,0.7,Geopolitics,0.4,Language,0.5
Rodney Graham,Good Hand Bad Hand,"alter_ego.n.01,artificial.a.01,gesture.n.03,self-portrait.n.01,performance.n.03,poker.n.02",https://kadist.org/work/good-hand-bad-hand/,"  Good Hand Bad Hand  was created especially for the 2010 show  Rodney Graham: Painter, Poet, Lighthouse Keeper  at the Lisson Gallery in London. In this pair of light boxes, Graham appears as one of his many alter egos—a gambler sitting at a poker table, cards in hand. The two images are almost identical except for slight differences in gesture: in the left panel Graham is arranging his hand of cards while in the right his hand is placed on the table. This change in gesture redirects the image’s focal point to the cards; in gambling such a subtle and involuntary shift in body language is known as a “tell,” and could give the game away.  
",Language,0.5,Body,0.6,Identity,0.4
Nicoline van Harskamp,Character Witness,"autobiography.n.01,speech.n.03,combine.v.04,fragment.n.01,perception.n.03,reenactment.n.01",https://kadist.org/work/character-witness/," The work is a speech composed of excerpts from autobiographies of well-known political characters. From each book an excerpts that describes a childhood event and one that describes a political event or statement was selected. The former, in most cases, functions as an alibi or explanation of the latter. A professional speech writer brought the excerpts brought the excerpts together and three actors delivered the speech live for an audience. The autobiographies comprise historical figures such as Malcolm X, Hillary Clinton, Margaret Thatcher and Ariel Sharon. 
",Politics,0.8,Language,0.5,History,0.4
Julius Koller,Anti-Happening,"practice.n.04,manifesto.n.01,openness.n.01,humor.n.04,happening.n.01,imagination.n.02",https://kadist.org/work/anti-happening/,"  Anti-Happening  refers to Koller’s 1965 manifesto, ‘Anti-Happening (System of Subjective Objectivity)’. In opposition to the notion of a ‘happening’ as a way of actualising group identity, in his manifesto, Koller stated that his concept of the ‘anti-happening’ aimed at a ‘cultural reshaping of the subject, at awareness, at the surroundings and the real world’  [i] . Unlike happenings, these actions do not involve the staging of psychologically expressive performances.  As the art historian Piotr Petrowski has noted, it is part of ‘an attitude that aims to erase the boundaries between different art tendencies (art and anti-art, modernist and neo-avant-garde painting), between different forms of neo-avant-garde practice (performance, conceptual art, Fluxus) and, above all, between art and life’ [ii] . 
  [i]  Kathrin Rhomberg and Roman Ondák (eds.),  Julius Koller: Univerzálne Futurologické Operácie , Cologne 2003. p.126. 
 
  [ii]  Piotr Piotrowski,  In the Shadow of Yalta: Art and the Avant-Garde in Eastern Europe, 1945–1989 , London 2009. 
 
 
   
   
 
 
   
",Culture,0.5,Arts,0.8,Values,0.5
Carey Young,Report from the legal subcommittee,"outer_space.n.01,constellation.n.02,systematize.v.01,capitalism.n.01,frustration.n.01,futility.n.01",https://kadist.org/work/report-from-the-legal-subcommittee/,"  Report of the Legal Subcommittee  is a print featuring a map of the stars, together with a found transcription of a recent United Nations meeting in which various international delegations declare frustration with their 40-year-old, ongoing efforts to devise a legal definition of outer space. This admission seems to hold a rich poetic potential, the human attempts to bureaucratize and control outer space seemingly frustrated by the sublime scale and mystery of its infinite depths. 
",Space,1,Politics,0.8,Power,0.4
Luis Garciga,Destinos Posibles (Possible Destinations),"interconnection.n.01,regionalism.n.01,desire.n.01,communism.n.01,community.n.01,interaction.n.01",https://kadist.org/work/destinos-posibles-possible-destinations/," In  Destinos Posibles  Garciga performs a service in Havana, Cuba by offering strangers in the streets a “ride” to wherever they are going for free, in exchange he demands that the passengers address the question what do they want from life? A poignant video within the context of the limitations the Cubans have in terms of choices, desires, fantasies, and longing. 
",Fantasy,0.7,Community,0.6,Identity,0.4
Gimhongsok,Bunny’s Sofa,"fake.n.01,costume.n.01,ethic.n.01,korea.n.01,labor.n.02,labor.n.01",https://kadist.org/work/bunnys-sofa/," To explore the boundaries between artwork and audience, Gimhongsok created a series of sculptural performances in which a person wearing an animal costume poses in the gallery.  Bunny’s Sofa  is a continuation of this series, but with a different twist. Instead of hiring a real person to dress as the animal, Gimhongsok placed a mannequin inside the rabbit costume. When exhibiting the work, the artist produces a false statement claiming that he has paid an illegal worker from North Korea to wear the suit and to maintain a lounging posture for a certain length of time. But both the performer and the financial transaction existed only in the text, truths concealed by the costume and social propriety. By interchanging physical realities and contexts and obscuring details, Gimhongsok challenges the effectiveness of visual and textual communication to create a potential moral anxiety in the viewers.  
",Politics,0.4,Values,0.7,Emotion,0.6
Francis Alÿs,Boat with Legs,"concept.n.01,sketch.n.01,motion.n.06,raw.s.04,procedure.n.01,strange.a.01",https://kadist.org/work/boat-with-legs/,,,,,,,
Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),"relational.s.01,thirst.n.01,transparency.n.02,disjunction.n.01,imperceptibility.n.01,occlusion.n.01",https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/,"  A residency program in the blazing hot city of Honda, Colombia, inspired artist Nicolás Consuegra to consider the difficulty in understanding the needs of a distant community. An important town during the colonial era as the main port on the Magdalena River, Honda is presently rife with poverty, unemployment, and environmental deterioration. Here he produced the work    Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks)   , a variable arrangement of cut glasses in front of a mirror so that they appear whole. The title, a popular euphemism taken literally, affirms the impossibility of knowing another person’s experience. In a mirror reflection the glasses appear to be complete, manifesting an innate human paradox: a reflection of unity, but only as reversed projection or doubling.  
",Economy,0.6,Inequality,0.6,Community,0.5
Miguel Calderon,Tropical Vulture,"cinematic.a.01,mundane.s.02,desire.n.01,everyday.s.01,actuality.n.01,narrative.n.01",https://kadist.org/work/tropical-vulture/,"  Tropical Vulture  is a cross-generational project which highlights the artistic influences between George Kuchar, a Bay Area legend of independent filmmaking, and Mexican artist Miguel Calderón.  Conversations with a Tropical Vulture is an experimental narrative video, co-directed by both artists, and blends Hollywood glamour and drama with an all-too-real life approach, which creates and inspires a counterpoint of unattainable desire against unbearable actuality. The video, shot on location in Acapulco, utilizes a lo-fi aesthetic and playful use of non-professional actors. 
",Culture,0.7,Design,0.3,Fantasy,0.6
