Artist,Description,Title,user_tags,Ivan Cluster 1,Ivan Cluster 2,Ivan Cluster 3,Vincent Cluster 1,Vincent Cluster 2,Vincent Cluster 3,Marie Cluster 1,Marie Cluster 2,Marie Cluster 3,Kathleen Cluster 1,Kathleen Cluster 2,Kathleen Cluster 3
John Barbour,"Inherent Vice is a delicate hand-stitched and painted wall banner made from loosely sewn panels of voile, on which the words ‘inherent vice’ have been placed in a circular mandala over Rorschach-style ink blots. Pinned to the wall, this idiosyncratic banner sits at the intersection of painting and a tactile, three-dimensional piece. It is a deliberately fragile work, its title referring to the art conservation term ‘inherent vice’ – that is, the response of materials to the effects of light, handling and atmospheric conditions. Here is how the artist, John Barbour, expressed his understanding of the term: “A sculpture made of steel, bronze or stone presumably has a low index of inherent vice. An oil painting might have a medium index. Artworks made of fabric or paper, in being particularly fragile, have a high index. A human being, as a work of art, presumably also has a high index of inherent vice”.1

For Barbour, human beings, like his wall banner, are in a constant state of physical decay, heading towards an eventual disintegration that signals the end of a ‘lifetime’ – however long that may be. Barbour has woven his reflections on the transience of life and mortality into Inherent Vice through his use of non-lightfast inks, delicate fabric and loose and unstable needlework. These materials increase the work’s inherent vice index and reflect his longstanding interest in what he calls ‘unmaking’ – an acknowledgement of human frailty and a deliberate resistance to the well made.

Barbour pursued a gently ironic artistic practice, exploring the paradox between form and formlessness in a manner which has been referred to as a kind of “studied incompetence”.2 His materials of choice are modest: fabric, thread, cardboard, found objects and ink. With these he created banners like Inherent Vice and various kinds of wall and floor installations over his 30-year career.",Inherent Vice,"fragility, ephemeral, decay, delicate, disintegration, transcience",Body,Time,Materiality,Time,Body,Immaterial,Physics,Time,Body,Time,Materiality,Body
Richard Bell,"Worth Exploring? features two documents that use European legal language and logic against itself: a statutory declaration challenging the legitimacy and legality of European colonisation, and a certificate of authenticity, a common document used in the Aboriginal art market that Bell connects to forms of racial classification. These texts flank two paintings, each with their own conflicted relation to Aboriginal art. The large painted ‘E’ sets up a dialogue with two other paintings: the monumental letters ‘I AM’ of Colin McCahon’s Victory Over Death (1970) and the ‘E’ shapes used by Michael Jagamara Nelson in his paintings to indicate possum tracks. Nelson’s work was controversially appropriated by Imants Tillers in 1985. In 2001 the two artists collaborated on the work Nature Speaks: Y (Possum Dreaming) that features the ‘E’ shapes, and which Bell has here appropriated again. The second painting in Worth Exploring? is an abstract expressionist work in the style of Jackson Pollock. It refers to Bell’s demand that if Aboriginal art is to be incorporated into a western art aesthetic, it should be “seen for what it is – as being amongst the world’s best examples of abstract expressionism”.1

In Worth Exploring? Bell criticises the appropriation of Aboriginal art by non-Aboriginal artists and its domination by white curators, critics, academics, dealers and collectors. Combining political bite and caustic humour, Bell argues for greater Aboriginal control over Aboriginal art and, by extension, over Aboriginal culture within Australian society.",Worth Exploring,"Appropriation, humour, Westerncentrism, authenticity, equality, Aboriginal  ",Culture,Arts,Colonization,Colonization,Politics,History,Colonization,Inequality,Power,Culture,Politics,Land
Gordon Bennett,"Home Decor (Relative/Absolute) Flowers for Mathinna #2 is, as Gordon Bennett describes it, “at once one painting and many paintings”.1 It combines references to 11 other paintings, each relating in some way to Bennett’s principal concern with the representation of Aboriginal people. The work is dominated by the portrait of Mathinna, a Tasmanian Aboriginal girl who was painted by the colonial artist Thomas Bock in 1842. Her story is key to this work. At seven years of age, she was taken from her parents and adopted by the then Governor of Tasmania, Sir John Franklin, in 1842. She was abandoned a year later when the Franklins returned to England. Mathinna eventually went back to her people at Flinders Island and later moved to Oyster Bay, dying from complications relating to alcoholism in 1856.2

This sorry tale of theft and cultural dislocation resounds through the other works Bennett quotes in this painting, especially the Margaret Preston woodcut of desert peas that sits below the portrait of Mathinna. These are the ‘flowers for Mathinna’ in the work’s title, and they function as another reminder of the ways in which white Australia has adopted ‘Aboriginality’ without the permission of, or regard for, Aboriginal people themselves. Preston freely borrowed Aboriginal themes and motifs in her artworks, using them to establish a visual language that she believed to be distinctly Australian and which she hoped would become a defining national style.

Here, Preston’s work is appropriated by an Indigenous artist who, in an act of commemoration, offers an image back to another image – that of Mathinna – from the past. Preston’s appropriative strategy is mirrored in the other images Bennett quotes, ranging from the dot paintings of Papunya Tula, and the Ben-Day printing dots of pop art, to his own reworkings of colonial representations of Aboriginal people. This kind of borrowing from the past is both a revision and reinterpretation, and its interweaving of motif and meaning brings back into focus the images and histories that continue to shape us.",Home Decor,"Identity, representation, racism, history, aboriginality, colonialism",Identity,Inequality,History,Colonization,Identity,History,Arts,History,Identity,Culture,Colonization,History
Stephen Birch,"Stephen Birch’s installation Untitled depicts an unusual confrontation between a life-size model of the superhero Spiderman and a worm-like, bearded figure whose atrophied head sits atop an arm-like neck protruding from the gallery wall. It suggests a type of mirroring or inversion, in which a full-bodied superhero – whose potency is exaggerated by his bulging crotch – balances and reflects the portrait of his ‘defective’ and repulsive opposite.

Birch’s Spiderman is a misshapen figure: the costume and role that he now inhabits barely accommodates his imperfections. The encounter between superhero and the aged, bearded mortal raises questions about the similarities between the two – they are constructed opposites inhabiting the same fictional world. In this installation the tension between the superhero and his nemesis is made palpable. The viewer is left to witness a jarring recognition – a scene in which one character is forced to confront himself within the other.",Untitled,"Otherness, repulsion, opposites, confrontation, superheroe, relativity",Fantasy,Identity,Inequality,Body,Time,Materiality,Fantasy,Identity,Culture,Identity,Body,Fantasy
Daniel Boyd,"Daniel Boyd’s painting We Call Them Pirates Out Here mocks the official history of white exploration and settlement by suggesting that one person’s explorer is another person’s pirate. This work is a parody of a famous 1902 history painting by Emanuel Phillip Fox depicting the 1770 landing of Captain Cook at Botany Bay. Depicted as a marauding pirate, Boyd’s Cook claims possession of the land with his skull-and-crossbones Union Jack. No longer the heroic and civilised explorer of Fox’s painting, Cook becomes the anti-hero of an opposing narrative in which his landing is reframed as a moment of invasion and pillage for the original inhabitants.

This kind of reworking of significant historical works is a potent artistic tool for commentary on Australia’s history, past and present. In other works, such as Governor No Beard (2007), Boyd has presented a buccaneering narrative of Australian history in which Australia is a Treasure Island and Cook, the Enlightenment man, little more than a treasure hunter. In We Call Them Pirates Out Here Boyd has appropriated a powerful piece of propaganda. Fox’s history painting, commissioned soon after the federation of Australia, depicts Cook – and by extension, the nation – as an enlightened humanist who prevents his men from firing on two advancing Aboriginal warriors. In Boyd’s update, the warriors are replaced by two Xanthorrhoea grass trees, called ‘black boys’ by the colonists. Cook’s heroic gesture is thus emptied of meaning and we see the scene as an opportunistic land grab founded on the one-eyed myth that the country was uninhabited.",We call them pirates out here,"Coloniality, political commentary, appropritaton, history, reinterpretation, parody, anti-hero",Identity,History,Politics,Colonization,History,Land,Colonization,History,Arts,History,Colonization,Power
Rebecca Baumann,"Automated Colour Field is a kinetic sculpture consisting of a wall-mounted grid of 100 flip-clocks, the numbered panels of which have been replaced by paper cards in a variety of colours. The battery-operated clocks keep their own time, turning the paper cards on the minute and the hour to create a kaleidoscopic field of colour. As in many of Baumann’s works, the mechanisms used to activate her chosen materials, and the incidental noises these mechanisms generate, are an important element of the experience she creates. In this work the analogue clocks activate the paper cards, producing a low background hum and soft pattering sound like raindrops falling on a tin roof.

Informed by psychology, colour theory and art history, Automated Colour Field makes reference to the abstract painting movement known as colour field. Links can also be made to German artist Gerhard Richter’s colour chart paintings of the 1960s and 1970s, which mimic the charts used by paint manufacturers and incorporate chance distributions of colour. Like Richter, Baumann uses processes of chance and a commercially available colour palette in her work, describing her placement of the coloured cards as being driven by a spontaneous rather than pre-planned impulse, resulting in an arbitrary arrangement of colour.

Baumann is interested in how we subjectively perceive colour and time, and how these phenomena are scientifically visualised and measured. Her main focus is the intimate relationship between colour and emotion, and the way specific colours and colour combinations can elicit particular feelings or moods. Bringing time into this equation, Baumann links the continually changing arrangements of colour generated by the flip-clocks to the fluctuating spectrum of emotions people experience over any 24-hour period.",Automated Colour Field,"time, kinetic, colourfield, everyday, perception, clocks",Time,Design,Body,Arts,Fantasy,Mind,Time,Arts,Emotion,Time,Arts,Design
Pat Brassington,"The four photo-media works from Pat Brassington’s series You’re so Vein (2005) are at once enticing and unsettling. Body parts are photographed from odd angles, distorted, cropped and foreshortened. In one image a mouth is sliced by the edge of the frame, in another a foot is scaly and inhuman, while legs are splayed or oddly elongated. In none of these works is there a whole body nor a full face, instead the viewer is left to interpret a situation or psychological state through segments of the body that stand in for the whole, as in a fetish. The colour palette in these works is predominantly pale pink and off-white and the emphasis in the images falls on mouth, crotch or feet. As art historian Helen McDonald wrote of this series, Brassington’s pink is “impotent”, unable to “open into space, like blue” but achieving either “dull luminescence” or imploding in “a subcutaneous sherbet bomb of sensation”.1

The titles of the works are playful and open up diverse interpretations. Crush could refer to the berry red lips at the top of the image, to the claustrophobia of an embrace, or to a more sinister possibility of violence to the exposed and vulnerable neck. Topography in Pink invites a landscape metaphor to apply to the striped leggings and splayed legs. Rocket evokes the elongated machine, thrusting into beige carpet. In The Wedding Guest a reptilian or amphibian form emerges along the floor from beneath a satin hem, and the title suggests unwanted advances and psychological and bodily mess beneath fine fabric and marriage celebrations.",You're so Vein,"Disembodied, body, abject, ambiguety, fetish, phychological",Body,Mind,Fantasy,Body,Violence,Fantasy,Body,Emotion,Violence,Body,Fantasy,Space
Ian Burns,"Showtime is a kinetic assemblage constructed from plastic chairs, an electric fan, a mirror ball and a monitor. The inverted plastic chairs projecting from the wall house the sculpture’s dynamic and spectacular elements: a spinning disco ball and a monitor showing video footage of a jet plane. Their ‘jet set’ associations with glitter and glamour are at odds with the domestic mundanity of the chairs, which would be familiar to anyone who has ever browsed an Ikea catalogue. Fixed to the chairs is a heavily laden power board trailing untidy lengths of cord that snake into and out of the wall-hung work. Nothing is hidden or glossed over in this work; the mechanics of its production are laid bare, and its assembly is of a distinctly handmade and improvised nature.

The screen that fronts the work shows Air Force One – the military aircraft specially designated for the President of the United States –, in flight. However, it is not the real jet aircraft we see on the screen but a live video feed of a toy plane suspended behind the monitor. A small fan blowing against the wall creates the turbulence that moves the plane, simulating a flight above the earth that is entirely fictitious. Air Force One exists here in a closed circuit – a self-perpetuating loop in which it relentlessly broadcasts an image of itself, appearing to move while remaining stationary.

Ian Burns made this work in New York during the 2008 presidential campaign that saw Barack Obama elected. The combination of the glittering disco ball with the imagery of Air Force One suggests the global power and authority of the Office of the President and the hype and spectacle of American elections – while the plastic chairs and electrical components suggest the rather less glamorous machinations underlying them. By placing the screen centre-stage in his do-it-yourself structure, Burns manifests the centrality of screens in our lives – not just as sources of entertainment and news but also of surveillance and misinformation.",Showtime,"Stage, fiction, mass media, illusion, spectacle, misinformation",Mass media,Technology,Fantasy,Power,Fantasy,Mass media,Power,Technology,Mass media,Technology,Mass media,Materiality
Ian Burn,"Ian Burn’s Systematically Altered Photographs is a suite of black-and-white images of suburban scenes, photocopied over and over until only a dotted matrix of the original image remains. The original photographs may have come from a brochure promoting the Australian lifestyle – its ordered and spacious suburbs, modern schools and natural settings. These are images of settled and colonised places that could be anywhere in Australia, and Burn further displaces them by systematically stripping them of visual information until they become more and more meaningless. They become things in which we look at, as well as look for, information. The images are accompanied by an essay written by Burn examining the relationship between what we see and how we talk of what we see, in which the semantic differences between ‘looking at’ and ‘looking for’ show the ways in which language conditions our visual experience.

The relationship between language and perception, the image and its viewer, and between art and the society in which it functions, were overriding concerns for Burn, who was an Australian artist known internationally for his leading role in the development of conceptual art. Systematically Altered Photographs was made around the time Burn joined the conceptual art collective Art & Language in New York. Departing from his earlier interest in landscapes and paintings, Burn examined the concept of art and its commodification and operation within the art market. His practice adopted a critical self-awareness of its production and dissemination, with the aim of examining the social, political and philosophical functions of art. Systematically Altered Photographs shows Burn’s use of media reproductions and what was then the new technology of the Xerox to question our understanding of landscape as both image and idea, and to critically examine our investment in what pictures do and don’t tell us.",Systematically altered Photographs,"Suburbia, language, perception, repetition, photocopy, mass reproduction",Urbanization,Materiality,Language,Urbanization,Fantasy,Language,Urbanization,History,Mass media,Mass media,Language,Land
Jon Campbell,"In Stacks On, Jon Campbell stacks glowing lightboxes of different shapes and sizes on top of one another in an installation that captures the political and cultural milieu of the inner city though its slogans, slang and lingo. Usually the domain of advertising and brand awareness, Campbell takes lightboxes from their customary location in the street, bus shelter and milk bar and re-orients them towards a personal archive of recollections, communicating the diverse voices and cultural landscape of his upbringing through its distinctive typography, words and phrases.

Interspersed between the towering lightbox stacks are screenprinted banners hanging from the ceiling. Like the lightboxes, they declare – in a phrase or a single word – their allegiance to the memory of inner-city suburbs. The lightbox inscribed with ‘Footscray Halal meats 100%’ and the banner declaring ‘Franco Cozzo’ (a well-known Melbourne furniture retailer) refer to the multicultural character of places like Footscray and Brunswick, now an important part of their sense of place. Within this melting pot of references are words of distinctly Australian flavor, like ‘snot block’ and ‘schnitz and titz.’ These unique colloquialisms – one an unflattering description of the singular Australian delicacy, the vanilla slice (a solid block of custard held between two layers of pastry) the other shorthand for the food and service on offer at a particular kind of Australian pub ­– belong to an informal language of suburban working class masculinity.

Posters for 1970s proto-punk bands like Radio Birdman and The Saints are enlarged as vivid screenprints by Campbell and hung alongside snippets of overheard conversations – “it’s a world full of lying bastards” ­– with slogans from the proposed damming of the Franklin River in the 1980s and the suggested closure of the Victorian College of the Arts (VCA) in 2010. These stacked and floating slabs of text and slang, torn from times and places familiar to the artist, recall the voices, influences and memories experienced in the streets of urban Australia, creating a kind of unofficial history of its vernacular expression.",Stacks on,"colloquialism, slang, vernacular, Australia, text, advertising",Language,Identity,Culture,Identity,Community,Culture,Mass media,Culture,Urbanization,Language,Culture,Materiality
Christian Capurro,"Another Misspent Portrait of Etienne de Silhouette comprises a Vogue Hommes magazine completely erased by hand, affiliated works and a series of interrelated, often site-specific programs that use the core project pieces as the basis for an exploration of understandings of value, exchange, expenditure, picturing and effacement.

The work was produced over a five-year period between 1999 and 2004 by more than 260 volunteers who participated by erasing and then inscribing a page with the time it took them to erase it and how much they then earned for their time. Since 2004, and with each new presentation of the magazine, various material works are produced and contributions enacted ‘in its shadow’.

The title of the work references the eighteenth-century French finance minister Étienne de Silhouette, who was famous for his severe budget-cutting during the Seven Years’ War of 1759. At the time, featureless portraits cut from black card were the cheapest method available of recording a person’s appearance before the advent of photography. Given his harsh budgets, de Silhouette’s name quickly became synonymous with this cheap form of commemoration – the silhouette.",Another MIsspent Portrait,"Labour, history, time, erasure, economy, portraiture",Immaterial,Time,Economy,Body,Economy,History,Economy,Mass media,Power,History,Politics,Time
