region,artist_name,title,permalink,user_tags,machine_clusters_from_user_tags,machine_clusters_from_machine_tags,hits,word_count
Unspecified,José Leonilson,O Africano,https://kadist.org/work/o-africano/,"African,heritage,Brazilian,inheritance,everyday,nation","History,Geopolitics,Politics","Space,Community,Arts",0,55
Americas,Gregory Crewdson,Forest Gathering N.2,https://kadist.org/work/forest-gathering-n-2/,"dystopia,landscape,stagy,imagination,atmospheric,forest","Fantasy,Arts,Spirituality","Land,Urbanization,Space",0,172
Europe,Michael Craig-Martin,Untitled (violet),https://kadist.org/work/untitled-violet/,"minimalism,delineation,mundane,fork,espresso_maker,violet","Design,Arts,Media","Power,Colonization,Design",1,0
Europe,Maria Bussman,Search for the origin of the work of art or on the way to Heidegger’s cabin,https://kadist.org/work/search-for-the-origin-of-the-work-of-art-or-on-the-way-to-heideggers-cabin/,"philosophy,emblem,interpretation,materialization,drawing,reading","Arts,Mind,Language","Spirituality,Arts,Culture",1,195
Europe,Zarina Bhimji,Bapa Closed His Heart. It Was Over,https://kadist.org/work/bapa-closed-his-heart-it-was-over/,"genealogy,refugee,dilapidation,Uganda,violence,absence","Arts,Technology,Land","Familial,Violence,Time",0,226
Europe,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/,"collection,Bauhaus,idealization,art_history,playful,collage","Arts,Design,Technology","Media,Arts,War",1,47
Europe,Charlotte Moth,The Absent Forms,https://kadist.org/work/the-absent-forms/,"subjectivity,light,collection,uncertainty,authorship,travelogue","Materiality,Arts,Mind","Arts,Media,Culture",1,174
Europe,Douglas Gordon,Blind Spencer (Mirror),https://kadist.org/work/blind-spencer-mirror/,"Hollywood,gaze,blindness,mass_culture,cutout,disquieting","Body,Media,Culture","Mind,Space,Culture",1,258
Europe,Tacita Dean,Baobab,https://kadist.org/work/baobab/,"monument,landscape,anthropomorphize,environment,portrait,black_and_white","Arts,Land,Media","Media,Arts,Values",2,153
Europe,Joachim Koester,Tarantism,https://kadist.org/work/tarantism/,"unconscious_mind,release,tarantella,dance,psychological_state,bodied","Arts,Mind,Power","Arts,Fantasy,Time",1,147
Europe,Matthew Darbyshire,Untitled: Furniture Island No. 3,https://kadist.org/work/untitled-furniture-island-no-3/,"utopian,three-dimensional,quotation,painting,reference,complementary_color","Arts,Land,Materiality","Arts,Economy,Design",1,127
Europe,Tino Sehgal,This exhibition,https://kadist.org/work/this-exhibition/,"collapse,immaterial,interaction,actor,site,infrastructure","Violence,Body,Economy","Power,Activism,Time",0,59
Middle East & Africa,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/,"socialization,education,adolescent,family,domestic,child","Mind,Culture,Values","Media,Arts,Technology",0,107
Asia,Vivek Vilasini,Housing Dreams Walls,https://kadist.org/work/housing-dreams-walls/,"community,ostentatious,color,irony,security,grid","Urbanization,Economy,Community","Arts,Land,Technology",0,132
Middle East & Africa,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/,"architecture,improvisation,hair,cross-cultural,braid,West","Arts,Technology,Land","Urbanization,Land,Culture",1,296
Europe,Haris Epaminonda,Tarahi V,https://kadist.org/work/tarahi-v/,"mass_culture,distortion,phantasmagoric,video_recording,Cyprus,reassembly","Urbanization,Land,Technology","Media,Fantasy,Arts",0,224
Europe,Haris Epaminonda,Tarahi VI,https://kadist.org/work/tarahi-vi/,"mass_culture,distortion,phantasmagoric,video_recording,Cyprus,reassembly","Urbanization,Land,Technology","Media,Arts,Fantasy",0,319
Asia,Meiro Koizumi,Inder Kommen Sie / It’s a Comedy,https://kadist.org/work/inder-kommen-sie-its-a-comedy/,"contradiction,comedy,Japanese,India,paradox,World_War_II","Language,Land,Fantasy","War,Media,Language",1,194
Europe,Willie Doherty,Out of the Shadows II,https://kadist.org/work/out-of-the-shadows-ii/,"civil_war,possibility,car_bomb,Ireland,Irish_Republican_Army,urban","War,Violence,Mind","Urbanization,Land,Activism",0,170
Europe,Michael Landy,H.2.N.Y Skeleton of the Dump,https://kadist.org/work/h-2-n-y-skeleton-of-the-dump/,"reconstruction,mezzotint,art_history,machine,self-destruct,research","Arts,Technology,History","Technology,Urbanization,Arts",2,260
Europe,Francis Alÿs,The Nightwatch,https://kadist.org/work/the-nightwatch/,"wandering,art_history,surveillance,spectator,museum,fox","Arts,History,Economy","Urbanization,Spirituality,Land",0,318
Europe,Evariste Richer,Cumulonimbus capillatus incus,https://kadist.org/work/cumulonimbus-capillatus-incus/,"cube,die,possibility,chance,colorful,massive","Mind,Spirituality,Identity","Arts,Technology,Materiality",0,233
Europe,Eric Dizambourg,Le mouton noir,https://kadist.org/work/le-mouton-noir/,"fictional_character,absurd,misapply,bucolic,actor,urban","Fantasy,Mind,Spirituality","Mind,Urbanization,Land",1,61
Europe,Eric Dizambourg,Greffe sur patte,https://kadist.org/work/greffe-sur-patte/,"burlesque,absurd,dull,rodent,countryside,earthy","Land,Arts","Arts,Economy,Urbanization",1,122
Americas,Jason Dodge,Above the Weather,https://kadist.org/work/above-the-weather/,"synecdoche,atmosphere,weaving,measurement,language,distance","Arts,Language,Spirituality","Arts,Design,Economy",1,180
Europe,Simon Starling,Nachbau,https://kadist.org/work/nachbau/,"reconstruction,Nazism,museum,correction,research,art_history","Arts,Politics,Economy","Spirituality,Arts,War",1,223
Americas,Natasha Wheat,"Be Oblivion, in Disconnect",https://kadist.org/work/be-oblivion-in-disconnect/,"resurrection,powerlessness,containment,language,circulation,text","Language,Arts,Time","Mind,Culture,Power",0,189
Americas,Hank Willis Thomas,I am the Greatest,https://kadist.org/work/i-am-the-greatest/,"African-American,motto,greatest,best,Ali,button",Environmental,"Identity,Materiality,Time",0,204
Americas,Jeffry Mitchell,The Carpenter,https://kadist.org/work/the-carpenter/,"freeze,carpenter,earthenware,glaze,Jesus",,"Mind,Fantasy,Spirituality",0,83
Americas,Jeffry Mitchell,Man and Pet,https://kadist.org/work/man-and-pet/,"Americana,pet,embrace,charming,earthenware,saurian","Arts,Economy,Design","Mind,Spirituality,Values",0,67
Americas,Jason Meadows,Do Not Pass Go,https://kadist.org/work/do-not-pass-go/,"black,fantasy,money,capitalism,fictional_character,cartoon","Fantasy,Spirituality,Economy","Economy,Spirituality,Media",2,125
Americas,Colter Jacobsen,Untitled (Untitled Passport II),https://kadist.org/work/untitled-untitled-passport-ii/,"animation,find,film,interact,technology,disused","Media,Arts,Technology","Arts,Community,Time",1,141
Europe,Wernor Herzog,Hearsay of the Soul,https://kadist.org/work/hearsay-of-the-soul/,"pastiche,affectional,landscape,video_recording,projection,art_history","Arts,Technology,Land","Mind,Media,Space",0,77
Americas,Christopher Badger,Drowned Wood Standing Coiled,https://kadist.org/work/drowned-wood-standing-coiled/,"bound,being,interconnection,coil,relationship,natural_phenomenon","Materiality,Physics,Fantasy","Emotion,Arts,Spirituality",0,73
Americas,Jeffry Mitchell,The Swimmer,https://kadist.org/work/the-swimmer/,"swimmer,aboriginal,squat,glaze,wet,earthenware",Colonization,"Mind,Fantasy,Spirituality",0,52
Americas,Daniel Joseph Martinez,I used to eat lemon meringue pie till I overloaded on my pancreas with sugar and passed out; It seemed to be a natural response to a society of abundance,https://kadist.org/work/i-used-to-eat-lemon-meringue-pie-till-i-overloaded-on-my-pancreas-with-sugar-and-passed-out-it-seemed-to-be-a-natural-response-to-a-society-of-abundance/,"brawn,pose,vulnerability,performance,bodybuilder,countenance","Power,Media,Time","Land,Urbanization,Values",0,129
Americas,Charles Gaines,"Shadows V, Set of 3",https://kadist.org/work/shadows-v-set-of-3/,"representation,empty,everyday,language,houseplant,thing","Arts,Spirituality,Language","Arts,Economy,Spirituality",2,111
Europe,Dora Garcia,Klau Mich,https://kadist.org/work/klau-mich/,"debate,television,innovative,activism,political,experiment","Media,Activism,Technology","Arts,Economy,Politics",0,30
Americas,Anthony Goicolea,Related 3b,https://kadist.org/work/related-3b/,"ancestry,commemoration,documentation,migration,history,exile","Geopolitics,Time,Activism","Media,Arts,Economy",0,181
Americas,Anthony Goicolea,Related 3a,https://kadist.org/work/related-3a/,"ancestry,commemoration,documentation,migration,history,exile","Geopolitics,Time,Activism","Media,Arts,Economy",0,181
Middle East & Africa,Walid Raad,Appendix XVIII: Plates,https://kadist.org/work/appendix-xviii-plates/,"war,Lebanon,color,adaptation,destruction,survival","Violence,War,Land","War,Land,Media",2,253
Americas,Chloe Piene,Armless,https://kadist.org/work/armless/,"armless,flesh,disintegrate,figure,inverted,headless","Design,Media,Arts","Space,Body,Arts",1,75
Asia,Pratchaya Phinthong,Untitled 2,https://kadist.org/work/untitled-2-2/,"sky,reflection,meteorite,illusion,fragment,land","Media,Materiality,Design","Technology,Media,Geopolitics",1,49
Asia,Pratchaya Phinthong,Untitled 1,https://kadist.org/work/untitled-1/,"sky,reflection,meteorite,illusion,fragment,land","Media,Materiality,Design","Technology,Media,Geopolitics",1,49
Asia,Pratchaya Phinthong,"What I learned I no longer know; the little I still know, I guessed",https://kadist.org/work/what-i-learned-i-no-longer-know-the-little-i-still-know-i-guessed/,"ephemeral,accumulation,value,art,worthless,Zimbabwe","Arts,Land,Media","Arts,Technology,Media",2,249
Asia,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/,"full_moon,moment,polarity,opposition,poetic,gesture","Power,Language,Time","Technology,Media,Geopolitics",0,78
Americas,Gabriel Orozco,Columpio,https://kadist.org/work/columpio/,"diversion,cemetery,travelogue,landscape,research,Mali","Land,Urbanization,Arts","Land,Urbanization,Media",2,0
Americas,Gabriel Orozco,Cemetery #1,https://kadist.org/work/cemetery-1/,"diversion,cemetery,travelogue,landscape,documentation,Mali","Land,Urbanization,Arts","Land,Urbanization,Media",2,195
Europe,Jean-Luc Moulène,Le noeud coulant,https://kadist.org/work/le-noeud-coulant/,"disjunction,node,gaze,loop,vertex,slipknot","Body,Time","Mind,Spirituality,Body",1,296
Americas,Raymond Pettibon,Owl,https://kadist.org/work/owl/,"youth_culture,drawing,surfing,fanciful,surfboard,owl","Design,Arts,Media","Media,Arts,Emotion",2,90
Americas,Raymond Pettibon,No Title (Without the comics),https://kadist.org/work/no-title-without-the-comics/,"mass_culture,narrative,fandom,appropriation,quotation,heroism","Culture,Fantasy,Emotion","Media,Arts,Emotion",1,90
Americas,Raymond Pettibon,No Title (Eh What Do?),https://kadist.org/work/no-title-eh-what-do/,"ontology,solitude,outer_space,existential,drawing,narrative","Arts,Fantasy,Design","Media,Arts,Emotion",1,123
Americas,Raymond Pettibon,Mushroom Cloud,https://kadist.org/work/mushroom-cloud/,"nuclear_weapon,annihilation,dark_comedy,drawing,apocalyptic,ending","War,Design,Arts","Media,Arts,Emotion",1,90
Americas,Catherine Opie,Raven (gun),https://kadist.org/work/raven-gun/,"pervert,in-your-face,act,firearm,closeness,breast","Emotion,Community,War","Arts,Culture,Spirituality",0,109
Americas,Catherine Opie,Alistair Fate,https://kadist.org/work/alistair-fate/,"humanness,aberrant,lesbian,appropriation,portraiture,pervert","Arts,Culture,Identity","Urbanization,Community,Politics",0,82
Americas,Catherine Opie,Mike and Sky,https://kadist.org/work/mike-and-sky/,"sex,identity,appearance,portraiture,homosexuality,inward","Identity,Arts,Body","Mind,Culture,Values",0,67
Americas,Shaun O'Dell,Purple Brush 8,https://kadist.org/work/purple-brush-8/,"dimensionality,geometric,gesture,optical_illusion,symbology,monochrome","Arts,Technology,Mind","Arts,Culture,Values",1,126
Americas,Shaun O'Dell,"Temple Creek, a branch of Escalante River, Aquarius Plateau Utah n.d. (Stereoscopic view)",https://kadist.org/work/temple-creek-a-branch-of-escalante-river-aquarius-plateau-utah-n-d-stereoscopic-view/,"stereoscopic_vision,perspective,landscape,dimensionality,aberration,natural_phenomenon","Arts,Physics,Land","Culture,Mind,Urbanization",0,108
Americas,Kristen Morgin,Jeep Comics,https://kadist.org/work/jeep-comics/,"replica,patriotism,comic_strip,materiality,reconstruction,heroism","Identity,Materiality,Design","Familial,Body,Time",0,49
Americas,Kristen Morgin,Donald of Doom Tank,https://kadist.org/work/donald-of-doom-tank/,"plaything,replica,propaganda,mass_culture,materiality,world_war","Design,Arts,Materiality","War,Violence,Emotion",0,83
Americas,Julio Cesar Morales,Undocumented Intervention,https://kadist.org/work/undocumented-intervention/,"borderland,Chicano,migration,figural,activism,drawing","Urbanization,Land,Geopolitics","Technology,Land,Geopolitics",2,50
Americas,Julio Cesar Morales,Interrupted Passage,https://kadist.org/work/interrupted-passage/,"reenactment,Chicano,surrender,food,meal,apprehension","Arts,History,Culture","Mind,Arts,Culture",2,92
Americas,Gareth Moore,"Map (from Uncertain Pilgrimage), 2006-2009",https://kadist.org/work/map-from-uncertain-pilgrimage-2006-2009/,"empty,journey,map,uncertainty,tool,nowhere","Arts,Media,Design","Arts,Power,Activism",1,72
Americas,Jason Meadows,Holly Golightly,https://kadist.org/work/holly-golightly/,"elegance,haphazard,hover,literature,Hepburn,fictional_character","Fantasy,Language,Arts","Urbanization,Fantasy,Emotion",1,103
Americas,Paul McCarthy,Mickey Mouse,https://kadist.org/work/mickey-mouse/,"mass_culture,Mickey_Mouse,appropriation,consumerism,artificiality,isolation","Culture,Economy,Materiality",,0,123
Middle East & Africa,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/,"closeness,virtual_reality,human_body,communication,conversation,subconscious","Media,Language,Power","Space,Spirituality,Culture",0,184
Middle East & Africa,Fikret Atay,Rebels of the Dance,https://kadist.org/work/rebels-of-the-dance/,"dance,vernacular,surveillance,globalization,cash_machine,wealth","Arts,Technology,Language","Land,Arts,Urbanization",1,174
Americas,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/,"hero,distribution,journey,materiality,bypass,stand-in","Power,Activism,Arts","Urbanization,Land,Geopolitics",0,189
Americas,Joe Scanlan,Spring Line,https://kadist.org/work/spring-line/,"adaptation,influence,idea,stalk,flower,variation","Values,Mind,Culture","Mind,Values,Culture",3,230
Europe,Harun Farocki,"Serious Games 3, Immersion",https://kadist.org/work/immersion/,"posttraumatic_stress_disorder,voyeurism,virtual_reality,testimony,computer_game,therapy","Media,Technology,Body","Media,Culture,Arts",1,185
Europe,Thea Djordjadze,And shadows will follow,https://kadist.org/work/and-shadows-will-follow/,"shadow,change,stop,tension,graph,light","Power,Activism,Community","Immaterial,Space,Identity",0,94
Americas,Carlos Amorales,Useless Wonder,https://kadist.org/work/useless-wonder/,"fantasy,animation,fluctuation,potential,figuration,vector","Fantasy,Arts,Spirituality","Fantasy,Arts,Land",2,76
Europe,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/,"fantastic,water_travel,immobility,repetition,cinematic,nostalgia","Emotion,Time,Economy","Emotion,Arts,Time",2,180
Americas,Stan Douglas,Michigan Central Station,https://kadist.org/work/michigan-central-station/,"devastation,architecture,urbanization,abandonment,decay,depopulate","Power,Arts,Environmental","Arts,History,Spirituality",1,97
Americas,Nathaniel Dorsky,Untitled 6/10 i-xxii,https://kadist.org/work/untitled-610-i-xxii/,"materiality,everyday,free_association,eisegesis,transparent,still_life","Arts,Materiality,Time","Media,Arts,Design",1,93
Americas,Anthony Discenza,A Rising Tide Lifts All Boats,https://kadist.org/work/a-rising-tide-lifts-all-boats/,"rigmarole,sales_talk,idea,nonsense,farfetched,contradiction","Values,Mind,Culture","Land,Values,Mind",2,87
Americas,Bjorn Copeland,"Sign series, #1, #2, #3",https://kadist.org/work/sign-series-123/,"street_sign,disorient,language,text,cut","Language,Arts,Culture","Arts,Design,Economy",1,118
Unspecified,Juan Araujo,Libro Ponti II,https://kadist.org/work/libro-ponti-ii/,"architecture,Venezuela,globalization,replica,visibility,modernism","Arts,Land,Urbanization","Emotion,Arts,Media",1,78
Americas,Bruce Conner,Untitled Inkblot Drawing (CT-1491),https://kadist.org/work/untitled-inkblot-drawing-ct-1491/,"form,Rorschach,calligraphy,repetition,psychedelic,intricate","Design,Culture,Time","Arts,Media,Design",1,78
Americas,Bruce Conner,"27 Punk Photos: 11. Dim Wanker: F Word, May, 1978",https://kadist.org/work/27-punk-photos-11-dim-wanker-f-word-may-1978/,"San_Francisco,punk_rock,documentary,music,seventies","Arts,Urbanization,Media","Space,Media,Urbanization",2,124
Americas,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/,"femininity,fabrication,polish,closeness,hue,feminism","Emotion,Mind,Spirituality","Urbanization,Land,Technology",0,180
Asia,Jiang Zhi,Tremble,https://kadist.org/work/tremble/,"behavior,human,vibrate,humanness,world,uncontrollable","Spirituality,Familial,Culture","Space,Technology,Power",0,148
Asia,Qing Zhang,603 Football Field,https://kadist.org/work/603-football-field/,"athletic_game,urbanization,surveillance,claustrophobia,youth_culture,recklessness","Media,Politics,Culture","Spirituality,Media,Culture",2,146
Unspecified,Wibowo Woto aka Wok the Rock,Vertical Horizon,https://kadist.org/work/vertical-horizon/,"celebrity,desensitization,voyeurism,video_recording,medium,spectator","Media,Technology,Body","Space,Arts,Body",1,127
Americas,Adriano Costa,Westminster Agua Viva,https://kadist.org/work/westminster-agua-viva/,"playful,touch,recycle,spectator,ready-made,find","Arts,Economy,Design","Body,Culture,Time",0,170
Middle East & Africa,Etel Adnan,Untitled (Beirut),https://kadist.org/work/untitled-beirut/,"tension,abstraction,color,horizontal,Bayrut,vertical","Arts,Materiality,Urbanization",Materiality,1,184
Europe,Andrei Monastyrski,Golden Lines,https://kadist.org/work/golden-lines/,"action,consequence,diagram,alchemy,field,Tao","Activism,Power,Land","Space,Arts,Language",0,59
Europe,Andrei Monastyrski,Aktionsplan (Map),https://kadist.org/work/aktionsplan/,"action,consequence,diagram,map,Soviet,documentation","Activism,Design,Arts","Language,Activism,Power",1,63
Europe,Taus Makhacheva,Let Me Be Part of a Narrative,https://kadist.org/work/let-me-be-part-narrative/,"sex,dignity,fight,Soviet,game,culture","Emotion,Spirituality,Power","Land,Time,Culture",0,277
Americas,Tim Lee,"Party for your right to fight, public enemy, 1988",https://kadist.org/work/party-for-your-right-to-fight-public-enemy-1988/,"impersonation,hip-hop,art_history,video_recording,discordance,referential","Arts,History,Technology","Politics,Geopolitics,Land",0,143
Americas,Tim Lee,"Untitled (Alexander Rodchenko, 1928)",https://kadist.org/work/untitled-alexander-rodchenko-1928/,"pastiche,self-portrait,fluctuation,optics,reflection,art_history","Arts,Identity,History","Mind,History,Time",1,115
Americas,Luisa Lambri,Untitled (Sten-Frenke House #04),https://kadist.org/work/untitled-sten-frenke-house-04/,"minimalism,two-dimensionality,architecture,expanse,austere,abstraction","Arts,Materiality,Space","Space,Arts,Mind",2,97
Americas,Luisa Lambri,"Untitled (Miller House, #02)",https://kadist.org/work/untitled-miller-house-02/,"minimalism,architecture,inhabitancy,portraiture,absence,abstraction","Arts,Materiality,Immaterial","Arts,Familial,Urbanization",1,143
Americas,Paul Kos,Sound of Ice Melting,https://kadist.org/work/sound-of-ice-melting/,"absurdity,intuition,sound,press_conference,meditation,Zen","Mind,Time,Spirituality","History,Materiality,War",0,76
Americas,Edward Kienholz,Untitled (San Francisco),https://kadist.org/work/untitled-san-francisco/,"shrine,bohemian,reclaim,San_Francisco,museum,sarcasm","Urbanization,Arts,Land","Land,Urbanization,Arts",3,93
Americas,Mike Kelley,"Towhead n’Ganga enclosed in darkness, lorded over by the sexualized folded high priestless form",https://kadist.org/work/towhead-nganga-enclosed-in-darkness-lorded-over-by-the-sexualized-folded-high-priestless-form/,"materiality,ambiguity,eternity,dateless,spirituality,occlusion","Time,Materiality,Spirituality","Space,Body,Environmental",0,118
Americas,Jordan Kantor,Eclipse,https://kadist.org/work/eclipse/,"obstruction,view,natural_phenomenon,spectator,eclipse,diaphanous","Physics,Power,Time","Mind,Culture,Media",0,52
Americas,Jordan Kantor,Lens Flare,https://kadist.org/work/lens-flare/,"flare,film,apparatus,reflection,time,lens","Media,Technology,Time","Media,Mind,Culture",1,135
Americas,Rodney Graham,Dance!!!,https://kadist.org/work/dance/,"western,parody,mythologization,stagy,mythology,American","Arts,Values,Technology","Land,Arts,Fantasy",1,101
Americas,Tina Modotti,"Diego Rivera Mural: Billionaires Club; Ministry of Education, Mexico D.F., Third Gallery",https://kadist.org/work/diego-rivera-mural-billionaires-club-ministry-of-education-mexico-d-f-third-gallery/,"labor_movement,capitalism,fresco,industrialization,mural,Marxism","Economy,Arts,Politics","Land,Urbanization,Arts",1,104
Europe,Piero Golia,Untitled #1 #2 #3,https://kadist.org/work/untitled-1-2-3/,"temporal,aggression,assembly,machine,passage,disorienting","Technology,Time,Violence","Activism,Time,Power",1,139
Americas,Rachel Foster,Editioned Screenprints,https://kadist.org/work/editioned-screenprints/,"communication,code,imperceptible,language,information,invisible","Language,Power,Mind","Time,Language,Mind",2,135
Americas,Dr. Lakra,Cortes y la malinche,https://kadist.org/work/cortes-y-la-malinche/,"Cortes,tattoo,reclaim,Aztec,Mexico,conquistador","Land,Design,Urbanization","Arts,Media,Mind",0,103
Americas,Harrell Fletcher,The American War,https://kadist.org/work/the-american-war/,"war,recreate,position,photograph,reflection,Vietnamese","Politics,War,Violence","War,Culture,Economy",1,192
Unspecified,Yoan Capote,Open Mind,https://kadist.org/work/open-mind/,"materiality,movement,consciousness,sociality,interaction,orientation","Time,Materiality,Emotion","Geopolitics,Mind,Values",0,84
Americas,Cildo Meireles,Sal Sem Carne,https://kadist.org/work/sal-sem-carne/,"native,massacre,history,music,political,sound","Arts,History,Language","Mind,Activism,Design",0,89
Americas,Geoffrey Farmer,Ongoing Time Stabbed with a Dagger,https://kadist.org/work/ongoing-time-stabbed-with-a-dagger/,"play,surrealism,time,kinetic,placement,Magritte","Time,History,Arts","Arts,Fantasy,Mind",1,85
Americas,Stan Douglas,Dice,https://kadist.org/work/dice/,"reenactment,vice_crime,exposure,photography,reenactment,film_noir","Arts,Media,History","Culture,Arts,Community",1,65
Unspecified,Pedro Reyes,Study for a Recycling Device,https://kadist.org/work/study-for-a-recycling-device/,"aesthetics,adaptability,recycling,garbage,arrangement,receptacle","Arts,Technology,Mind","Arts,Space,Culture",1,119
Unspecified,Juan Araujo,Residencia Milan 1,https://kadist.org/work/residencia-milan-1/,"architecture,ideal,Latin_America,fold,representation,naturalistic","Arts,Land,Values","Emotion,Arts,Media",1,64
Unspecified,Alexandre da Cunha,Laissez-Faire (Rainbow Flag),https://kadist.org/work/laissez-faire-rainbow-flag/,"abstraction,spectrum,flag,commodity,iconic,transcendence","Arts,Materiality,Design","Design,Arts,Economy",2,71
Unspecified,Johanna Calle,"Suburbia 1, Espinca bifida #3, Laconista7",https://kadist.org/work/suburbia-1-espinca-bifida-3-laconista7/,"suburb,circulation,vein,text,circulation,life","Culture,Language,Urbanization","Media,Arts,Technology",0,93
Americas,Chris Johanson,Apartment on Cardboard,https://kadist.org/work/apartment-on-cardboard/,"urban,voyeurism,mundane,architecture,existential,urban","Urbanization,Arts,Body","Arts,Spirituality,Values",1,103
Unspecified,Raimond Chaves,Partituras,https://kadist.org/work/partituras/,"minimalism,reclaim,play,field,border,cardboard","Geopolitics,Body,Media","Geopolitics,Arts,Economy",1,72
Americas,Julian Hoeber,Execution Changes #22,https://kadist.org/work/execution-changes-22/,"dimensionality,painterly,formulaic,materiality,Stella,minimalism","Materiality,Design,Identity","Arts,Design,Economy",1,98
Americas,Todd Hido,Untitled 3737 and Untitled 5157,https://kadist.org/work/untitled-3737-and-untitled-5157/,"transience,eerie,landscape,impermanence,darkness,photographic_print","Arts,Time,Design","Land,Fantasy,Space",0,41
Unspecified,Abraham Cruzvillegas,Tres cadencias,https://kadist.org/work/tres-cadencias/,"chord,reclaim,flag,linguistic,felt,harmony","Arts,Design,Economy","Language,Activism,Urbanization",0,141
Americas,James Welling,Stowe,https://kadist.org/work/stowe/,"materiality,photography,Stowe,literature,curtain,fabric","Arts,Design,Materiality","Mind,Arts,Design",2,98
Americas,James Welling,#17 Pink,https://kadist.org/work/17-pink/,"materiality,photography,color,flower,curl,stubborn","Materiality,Arts,Time","Arts,Land,Economy",1,109
Americas,Ian Wallace,Study for my Heroes in the Street (Stan),https://kadist.org/work/study-for-my-heroes-in-the-street-stan/,"drift,edit,street,original,perception,urban","Mind,Language,Urbanization","Mind,Urbanization,Values",2,124
Americas,Ed Ruscha,Splinters and Seconal,https://kadist.org/work/splinters-and-seconal/,"negative,trip,trace,imprint,material,stain",Environmental,"Design,Urbanization,Economy",0,78
Americas,Conrad Ruiz,New Fall Lineup,https://kadist.org/work/new-fall-lineup/,"cover,9/11,fun,fictional_character,sugarcoat,humor","Fantasy,Spirituality,Mind","Mind,Values,Land",1,117
Americas,Colter Jacobsen,Victory at Sea,https://kadist.org/work/victory-at-sea/,"animation,find,film,interact,technology,disused","Media,Arts,Technology","Environmental,Community,Urbanization",0,49
Europe,Alain Séchas,Peace and Love,https://kadist.org/work/peace-and-love/,"cat,humanity,protest,intermediate,criticism,violence","Activism,Violence,Power","Land,Arts,Mind",0,220
